stable_id,title,project,area,status,priority,source_file,source_line,section,description,repo_name,repo_full_name,repo_path,repo_type
task-db49f2ba0483,Task categories — category grouping deferred; revisit when core app is stable,Daily Planner,apps,Backlog,Normal,apps/daily-planner/BACKLOG.md,4,Backlog — Daily Planner / Features,,daily-planner,DrewBeFree/daily-planner,apps/daily-planner,app
task-458eb59f7fb9,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",Daily Planner,apps,Backlog,Normal,apps/daily-planner/BACKLOG.md,7,Backlog — Daily Planner / UX,,daily-planner,DrewBeFree/daily-planner,apps/daily-planner,app
task-f0b793c2918f,Delete archived list — add a delete button to archived grocery and trip lists to permanently remove them,Daily Planner,apps,Backlog,Normal,apps/daily-planner/BACKLOG.md,8,Backlog — Daily Planner / UX,,daily-planner,DrewBeFree/daily-planner,apps/daily-planner,app
task-4d0663c14cf1,Migrate host PIN gate to Supabase Auth — replace JS PIN check with email/password login so RLS DELETE/UPDATE policies can be scoped to authenticated role,Linksy,apps,Backlog,Normal,apps/golf/BACKLOG.md,4,Backlog — Linksy / Security,,golf,DrewBeFree/golf,apps/golf,app
task-7c9689f6b517,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",Linksy,apps,Backlog,Normal,apps/golf/BACKLOG.md,7,Backlog — Linksy / UX,,golf,DrewBeFree/golf,apps/golf,app
task-ef954720563c,Custom System Prompts: Allow the user to input a custom system prompt override for any of the 6 debate personas directly from the UI.,LLM Debate Union,apps,Backlog,Normal,apps/llm-debate-union/BACKLOG.md,4,Backlog — LLM Debate Union / Features,,llm-debate-union,DrewBeFree/llm-debate-union,apps/llm-debate-union,app
task-93024d3c3ee7,"Interactive Audience Q&A: Allow the user to type in a custom question as the moderator during Round 3, prompting the active LLMs to respond dynamically.",LLM Debate Union,apps,Backlog,Normal,apps/llm-debate-union/BACKLOG.md,5,Backlog — LLM Debate Union / Features,,llm-debate-union,DrewBeFree/llm-debate-union,apps/llm-debate-union,app
task-f2733aa8a6c9,Voice Synthesis: Integrate the Web Speech API (SpeechSynthesis) to read model responses aloud using browser-configured voices.,LLM Debate Union,apps,Backlog,Normal,apps/llm-debate-union/BACKLOG.md,6,Backlog — LLM Debate Union / Features,,llm-debate-union,DrewBeFree/llm-debate-union,apps/llm-debate-union,app
task-63adf70fbc07,"More Pre-programmed Motions: Add simulation databases for ""We are living in a computer simulation"" and ""Open-source AI will outlive proprietary ones"".",LLM Debate Union,apps,Backlog,Normal,apps/llm-debate-union/BACKLOG.md,7,Backlog — LLM Debate Union / Features,,llm-debate-union,DrewBeFree/llm-debate-union,apps/llm-debate-union,app
task-a91790a8da23,Local Storage History: Save completed debate transcripts and final audience swing margins to browser localStorage or a local file for history viewing.,LLM Debate Union,apps,Backlog,Normal,apps/llm-debate-union/BACKLOG.md,10,Backlog — LLM Debate Union / Integration,,llm-debate-union,DrewBeFree/llm-debate-union,apps/llm-debate-union,app
